query_kind,query_ref,candidate_kind,candidate_ref,label,why
atlas_source_product,atl-lookup-a:VARIANT-04,pim_product,LKP-PIM-VARIANT-04,variant,"reverse: Same brand + MPN, colour differs, each side has its own EAN — sibling variant: review, never match."
pim_product,LKP-PIM-VARIANT-05,atlas_source_product,atl-lookup-b:VARIANT-05,variant,"Same brand + MPN, colour differs, each side has its own EAN — sibling variant: review, never match."
atlas_source_product,atl-lookup-b:VARIANT-05,pim_product,LKP-PIM-VARIANT-05,variant,"reverse: Same brand + MPN, colour differs, each side has its own EAN — sibling variant: review, never match."
pim_product,LKP-PIM-VARIANT-06,atlas_source_product,atl-lookup-a:VARIANT-06,variant,"Same brand + MPN, colour differs, each side has its own EAN — sibling variant: review, never match."
atlas_source_product,atl-lookup-a:VARIANT-06,pim_product,LKP-PIM-VARIANT-06,variant,"reverse: Same brand + MPN, colour differs, each side has its own EAN — sibling variant: review, never match."
pim_product,LKP-PIM-VARIANT-07,atlas_source_product,atl-lookup-b:VARIANT-07,variant,"Same brand + MPN, colour differs, each side has its own EAN — sibling variant: review, never match."
atlas_source_product,atl-lookup-b:VARIANT-07,pim_product,LKP-PIM-VARIANT-07,variant,"reverse: Same brand + MPN, colour differs, each side has its own EAN — sibling variant: review, never match."
pim_product,LKP-PIM-VARIANT-08,atlas_source_product,atl-lookup-a:VARIANT-08,variant,"Same brand + MPN, colour differs, each side has its own EAN — sibling variant: review, never match."
atlas_source_product,atl-lookup-a:VARIANT-08,pim_product,LKP-PIM-VARIANT-08,variant,"reverse: Same brand + MPN, colour differs, each side has its own EAN — sibling variant: review, never match."
pim_product,LKP-PIM-VARIANT-09,atlas_source_product,atl-lookup-b:VARIANT-09,variant,"Same brand + MPN, colour differs, each side has its own EAN — sibling variant: review, never match."
atlas_source_product,atl-lookup-b:VARIANT-09,pim_product,LKP-PIM-VARIANT-09,variant,"reverse: Same brand + MPN, colour differs, each side has its own EAN — sibling variant: review, never match."
pim_product,LKP-PIM-MULTI-00,atlas_source_product,atl-lookup-a:MULTI-00,no,"Single unit vs a 3-pack of the same item — text looks near-identical, weight and GTIN do not agree."
atlas_source_product,atl-lookup-a:MULTI-00,pim_product,LKP-PIM-MULTI-00,no,"reverse: Single unit vs a 3-pack of the same item — text looks near-identical, weight and GTIN do not agree."
pim_product,LKP-PIM-MULTI-01,atlas_source_product,atl-lookup-b:MULTI-01,no,"Single unit vs a 3-pack of the same item — text looks near-identical, weight and GTIN do not agree."
atlas_source_product,atl-lookup-b:MULTI-01,pim_product,LKP-PIM-MULTI-01,no,"reverse: Single unit vs a 3-pack of the same item — text looks near-identical, weight and GTIN do not agree."
pim_product,LKP-PIM-MULTI-02,atlas_source_product,atl-lookup-a:MULTI-02,no,"Single unit vs a 3-pack of the same item — text looks near-identical, weight and GTIN do not agree."
atlas_source_product,atl-lookup-a:MULTI-02,pim_product,LKP-PIM-MULTI-02,no,"reverse: Single unit vs a 3-pack of the same item — text looks near-identical, weight and GTIN do not agree."
pim_product,LKP-PIM-MULTI-03,atlas_source_product,atl-lookup-b:MULTI-03,no,"Single unit vs a 3-pack of the same item — text looks near-identical, weight and GTIN do not agree."
atlas_source_product,atl-lookup-b:MULTI-03,pim_product,LKP-PIM-MULTI-03,no,"reverse: Single unit vs a 3-pack of the same item — text looks near-identical, weight and GTIN do not agree."
pim_product,LKP-PIM-MULTI-04,atlas_source_product,atl-lookup-a:MULTI-04,no,"Single unit vs a 3-pack of the same item — text looks near-identical, weight and GTIN do not agree."
atlas_source_product,atl-lookup-a:MULTI-04,pim_product,LKP-PIM-MULTI-04,no,"reverse: Single unit vs a 3-pack of the same item — text looks near-identical, weight and GTIN do not agree."
pim_product,LKP-PIM-MULTI-05,atlas_source_product,atl-lookup-b:MULTI-05,no,"Single unit vs a 3-pack of the same item — text looks near-identical, weight and GTIN do not agree."
atlas_source_product,atl-lookup-b:MULTI-05,pim_product,LKP-PIM-MULTI-05,no,"reverse: Single unit vs a 3-pack of the same item — text looks near-identical, weight and GTIN do not agree."
pim_product,LKP-PIM-MULTI-06,atlas_source_product,atl-lookup-a:MULTI-06,no,"Single unit vs a 3-pack of the same item — text looks near-identical, weight and GTIN do not agree."
atlas_source_product,atl-lookup-a:MULTI-06,pim_product,LKP-PIM-MULTI-06,no,"reverse: Single unit vs a 3-pack of the same item — text looks near-identical, weight and GTIN do not agree."
pim_product,LKP-PIM-MULTI-07,atlas_source_product,atl-lookup-b:MULTI-07,no,"Single unit vs a 3-pack of the same item — text looks near-identical, weight and GTIN do not agree."
atlas_source_product,atl-lookup-b:MULTI-07,pim_product,LKP-PIM-MULTI-07,no,"reverse: Single unit vs a 3-pack of the same item — text looks near-identical, weight and GTIN do not agree."
pim_product,LKP-PIM-MULTI-08,atlas_source_product,atl-lookup-a:MULTI-08,no,"Single unit vs a 3-pack of the same item — text looks near-identical, weight and GTIN do not agree."
atlas_source_product,atl-lookup-a:MULTI-08,pim_product,LKP-PIM-MULTI-08,no,"reverse: Single unit vs a 3-pack of the same item — text looks near-identical, weight and GTIN do not agree."
pim_product,LKP-PIM-MULTI-09,atlas_source_product,atl-lookup-b:MULTI-09,no,"Single unit vs a 3-pack of the same item — text looks near-identical, weight and GTIN do not agree."
atlas_source_product,atl-lookup-b:MULTI-09,pim_product,LKP-PIM-MULTI-09,no,"reverse: Single unit vs a 3-pack of the same item — text looks near-identical, weight and GTIN do not agree."
pim_product,LKP-PIM-DIRTY-00,atlas_source_product,atl-lookup-a:DIRTY-00,match,Same GTIN and product name; the atlas feed's brand field is corrupted (dirty data) — still one product.
atlas_source_product,atl-lookup-a:DIRTY-00,pim_product,LKP-PIM-DIRTY-00,match,reverse: Same GTIN and product name; the atlas feed's brand field is corrupted (dirty data) — still one product.
pim_product,LKP-PIM-DIRTY-01,atlas_source_product,atl-lookup-b:DIRTY-01,match,Same GTIN and product name; the atlas feed's brand field is corrupted (dirty data) — still one product.
atlas_source_product,atl-lookup-b:DIRTY-01,pim_product,LKP-PIM-DIRTY-01,match,reverse: Same GTIN and product name; the atlas feed's brand field is corrupted (dirty data) — still one product.
pim_product,LKP-PIM-DIRTY-02,atlas_source_product,atl-lookup-a:DIRTY-02,match,Same GTIN and product name; the atlas feed's brand field is corrupted (dirty data) — still one product.
atlas_source_product,atl-lookup-a:DIRTY-02,pim_product,LKP-PIM-DIRTY-02,match,reverse: Same GTIN and product name; the atlas feed's brand field is corrupted (dirty data) — still one product.
pim_product,LKP-PIM-DIRTY-03,atlas_source_product,atl-lookup-b:DIRTY-03,match,Same GTIN and product name; the atlas feed's brand field is corrupted (dirty data) — still one product.
atlas_source_product,atl-lookup-b:DIRTY-03,pim_product,LKP-PIM-DIRTY-03,match,reverse: Same GTIN and product name; the atlas feed's brand field is corrupted (dirty data) — still one product.
pim_product,LKP-PIM-DIRTY-04,atlas_source_product,atl-lookup-a:DIRTY-04,match,Same GTIN and product name; the atlas feed's brand field is corrupted (dirty data) — still one product.
atlas_source_product,atl-lookup-a:DIRTY-04,pim_product,LKP-PIM-DIRTY-04,match,reverse: Same GTIN and product name; the atlas feed's brand field is corrupted (dirty data) — still one product.
pim_product,LKP-PIM-DIRTY-05,atlas_source_product,atl-lookup-b:DIRTY-05,match,Same GTIN and product name; the atlas feed's brand field is corrupted (dirty data) — still one product.
atlas_source_product,atl-lookup-b:DIRTY-05,pim_product,LKP-PIM-DIRTY-05,match,reverse: Same GTIN and product name; the atlas feed's brand field is corrupted (dirty data) — still one product.
pim_product,LKP-PIM-DIRTY-06,atlas_source_product,atl-lookup-a:DIRTY-06,match,Same GTIN and product name; the atlas feed's brand field is corrupted (dirty data) — still one product.
atlas_source_product,atl-lookup-a:DIRTY-06,pim_product,LKP-PIM-DIRTY-06,match,reverse: Same GTIN and product name; the atlas feed's brand field is corrupted (dirty data) — still one product.
pim_product,LKP-PIM-DIRTY-07,atlas_source_product,atl-lookup-b:DIRTY-07,match,Same GTIN and product name; the atlas feed's brand field is corrupted (dirty data) — still one product.
atlas_source_product,atl-lookup-b:DIRTY-07,pim_product,LKP-PIM-DIRTY-07,match,reverse: Same GTIN and product name; the atlas feed's brand field is corrupted (dirty data) — still one product.
pim_product,LKP-PIM-DIRTY-08,atlas_source_product,atl-lookup-a:DIRTY-08,match,Same GTIN and product name; the atlas feed's brand field is corrupted (dirty data) — still one product.
atlas_source_product,atl-lookup-a:DIRTY-08,pim_product,LKP-PIM-DIRTY-08,match,reverse: Same GTIN and product name; the atlas feed's brand field is corrupted (dirty data) — still one product.
pim_product,LKP-PIM-DIRTY-09,atlas_source_product,atl-lookup-b:DIRTY-09,match,Same GTIN and product name; the atlas feed's brand field is corrupted (dirty data) — still one product.
atlas_source_product,atl-lookup-b:DIRTY-09,pim_product,LKP-PIM-DIRTY-09,match,reverse: Same GTIN and product name; the atlas feed's brand field is corrupted (dirty data) — still one product.
pim_product,LKP-PIM-NAMEONLY-00,atlas_source_product,atl-lookup-a:NAMEONLY-00,match,"No EAN on either side; name and brand near-identical, weight within tolerance — fuzzy-name only match."
atlas_source_product,atl-lookup-a:NAMEONLY-00,pim_product,LKP-PIM-NAMEONLY-00,match,"reverse: No EAN on either side; name and brand near-identical, weight within tolerance — fuzzy-name only match."
pim_product,LKP-PIM-NAMEONLY-01,atlas_source_product,atl-lookup-b:NAMEONLY-01,match,"No EAN on either side; name and brand near-identical, weight within tolerance — fuzzy-name only match."
atlas_source_product,atl-lookup-b:NAMEONLY-01,pim_product,LKP-PIM-NAMEONLY-01,match,"reverse: No EAN on either side; name and brand near-identical, weight within tolerance — fuzzy-name only match."
pim_product,LKP-PIM-NAMEONLY-02,atlas_source_product,atl-lookup-a:NAMEONLY-02,match,"No EAN on either side; name and brand near-identical, weight within tolerance — fuzzy-name only match."
atlas_source_product,atl-lookup-a:NAMEONLY-02,pim_product,LKP-PIM-NAMEONLY-02,match,"reverse: No EAN on either side; name and brand near-identical, weight within tolerance — fuzzy-name only match."
pim_product,LKP-PIM-NAMEONLY-03,atlas_source_product,atl-lookup-b:NAMEONLY-03,match,"No EAN on either side; name and brand near-identical, weight within tolerance — fuzzy-name only match."
atlas_source_product,atl-lookup-b:NAMEONLY-03,pim_product,LKP-PIM-NAMEONLY-03,match,"reverse: No EAN on either side; name and brand near-identical, weight within tolerance — fuzzy-name only match."
pim_product,LKP-PIM-NAMEONLY-04,atlas_source_product,atl-lookup-a:NAMEONLY-04,match,"No EAN on either side; name and brand near-identical, weight within tolerance — fuzzy-name only match."
atlas_source_product,atl-lookup-a:NAMEONLY-04,pim_product,LKP-PIM-NAMEONLY-04,match,"reverse: No EAN on either side; name and brand near-identical, weight within tolerance — fuzzy-name only match."
pim_product,LKP-PIM-NAMEONLY-05,atlas_source_product,atl-lookup-b:NAMEONLY-05,match,"No EAN on either side; name and brand near-identical, weight within tolerance — fuzzy-name only match."
atlas_source_product,atl-lookup-b:NAMEONLY-05,pim_product,LKP-PIM-NAMEONLY-05,match,"reverse: No EAN on either side; name and brand near-identical, weight within tolerance — fuzzy-name only match."
pim_product,LKP-PIM-NAMEONLY-06,atlas_source_product,atl-lookup-a:NAMEONLY-06,match,"No EAN on either side; name and brand near-identical, weight within tolerance — fuzzy-name only match."
atlas_source_product,atl-lookup-a:NAMEONLY-06,pim_product,LKP-PIM-NAMEONLY-06,match,"reverse: No EAN on either side; name and brand near-identical, weight within tolerance — fuzzy-name only match."
pim_product,LKP-PIM-NAMEONLY-07,atlas_source_product,atl-lookup-b:NAMEONLY-07,match,"No EAN on either side; name and brand near-identical, weight within tolerance — fuzzy-name only match."
atlas_source_product,atl-lookup-b:NAMEONLY-07,pim_product,LKP-PIM-NAMEONLY-07,match,"reverse: No EAN on either side; name and brand near-identical, weight within tolerance — fuzzy-name only match."
pim_product,LKP-PIM-NAMEONLY-08,atlas_source_product,atl-lookup-a:NAMEONLY-08,match,"No EAN on either side; name and brand near-identical, weight within tolerance — fuzzy-name only match."
atlas_source_product,atl-lookup-a:NAMEONLY-08,pim_product,LKP-PIM-NAMEONLY-08,match,"reverse: No EAN on either side; name and brand near-identical, weight within tolerance — fuzzy-name only match."
pim_product,LKP-PIM-NAMEONLY-09,atlas_source_product,atl-lookup-b:NAMEONLY-09,match,"No EAN on either side; name and brand near-identical, weight within tolerance — fuzzy-name only match."
atlas_source_product,atl-lookup-b:NAMEONLY-09,pim_product,LKP-PIM-NAMEONLY-09,match,"reverse: No EAN on either side; name and brand near-identical, weight within tolerance — fuzzy-name only match."
pim_product,LKP-PIM-PHOTO-00,atlas_source_product,atl-lookup-a:PHOTO-00,no,Unrelated products (different brand/name/GTIN) rendered from the same photo template — image alone must not promote this to a match.
atlas_source_product,atl-lookup-a:PHOTO-00,pim_product,LKP-PIM-PHOTO-00,no,reverse: Unrelated products (different brand/name/GTIN) rendered from the same photo template — image alone must not promote this to a match.
pim_product,LKP-PIM-PHOTO-01,atlas_source_product,atl-lookup-b:PHOTO-01,no,Unrelated products (different brand/name/GTIN) rendered from the same photo template — image alone must not promote this to a match.
atlas_source_product,atl-lookup-b:PHOTO-01,pim_product,LKP-PIM-PHOTO-01,no,reverse: Unrelated products (different brand/name/GTIN) rendered from the same photo template — image alone must not promote this to a match.
pim_product,LKP-PIM-PHOTO-02,atlas_source_product,atl-lookup-a:PHOTO-02,no,Unrelated products (different brand/name/GTIN) rendered from the same photo template — image alone must not promote this to a match.
atlas_source_product,atl-lookup-a:PHOTO-02,pim_product,LKP-PIM-PHOTO-02,no,reverse: Unrelated products (different brand/name/GTIN) rendered from the same photo template — image alone must not promote this to a match.
pim_product,LKP-PIM-PHOTO-03,atlas_source_product,atl-lookup-b:PHOTO-03,no,Unrelated products (different brand/name/GTIN) rendered from the same photo template — image alone must not promote this to a match.
atlas_source_product,atl-lookup-b:PHOTO-03,pim_product,LKP-PIM-PHOTO-03,no,reverse: Unrelated products (different brand/name/GTIN) rendered from the same photo template — image alone must not promote this to a match.
pim_product,LKP-PIM-PHOTO-04,atlas_source_product,atl-lookup-a:PHOTO-04,no,Unrelated products (different brand/name/GTIN) rendered from the same photo template — image alone must not promote this to a match.
atlas_source_product,atl-lookup-a:PHOTO-04,pim_product,LKP-PIM-PHOTO-04,no,reverse: Unrelated products (different brand/name/GTIN) rendered from the same photo template — image alone must not promote this to a match.
pim_product,LKP-PIM-PHOTO-05,atlas_source_product,atl-lookup-b:PHOTO-05,no,Unrelated products (different brand/name/GTIN) rendered from the same photo template — image alone must not promote this to a match.
atlas_source_product,atl-lookup-b:PHOTO-05,pim_product,LKP-PIM-PHOTO-05,no,reverse: Unrelated products (different brand/name/GTIN) rendered from the same photo template — image alone must not promote this to a match.
pim_product,LKP-PIM-PHOTO-06,atlas_source_product,atl-lookup-a:PHOTO-06,no,Unrelated products (different brand/name/GTIN) rendered from the same photo template — image alone must not promote this to a match.
atlas_source_product,atl-lookup-a:PHOTO-06,pim_product,LKP-PIM-PHOTO-06,no,reverse: Unrelated products (different brand/name/GTIN) rendered from the same photo template — image alone must not promote this to a match.
pim_product,LKP-PIM-PHOTO-07,atlas_source_product,atl-lookup-b:PHOTO-07,no,Unrelated products (different brand/name/GTIN) rendered from the same photo template — image alone must not promote this to a match.
atlas_source_product,atl-lookup-b:PHOTO-07,pim_product,LKP-PIM-PHOTO-07,no,reverse: Unrelated products (different brand/name/GTIN) rendered from the same photo template — image alone must not promote this to a match.
pim_product,LKP-PIM-PHOTO-08,atlas_source_product,atl-lookup-a:PHOTO-08,no,Unrelated products (different brand/name/GTIN) rendered from the same photo template — image alone must not promote this to a match.
atlas_source_product,atl-lookup-a:PHOTO-08,pim_product,LKP-PIM-PHOTO-08,no,reverse: Unrelated products (different brand/name/GTIN) rendered from the same photo template — image alone must not promote this to a match.
pim_product,LKP-PIM-PHOTO-09,atlas_source_product,atl-lookup-b:PHOTO-09,no,Unrelated products (different brand/name/GTIN) rendered from the same photo template — image alone must not promote this to a match.
atlas_source_product,atl-lookup-b:PHOTO-09,pim_product,LKP-PIM-PHOTO-09,no,reverse: Unrelated products (different brand/name/GTIN) rendered from the same photo template — image alone must not promote this to a match.
pim_product,LKP-PIM-EXACT-00,atlas_source_product,atl-lookup-b:NAMEONLY-01,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-EXACT-00,atlas_source_product,atl-lookup-b:PHOTO-03,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-EXACT-01,atlas_source_product,atl-lookup-a:NAMEONLY-02,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-EXACT-01,atlas_source_product,atl-lookup-b:MULTI-05,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-EXACT-02,atlas_source_product,atl-lookup-b:PHOTO-01,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-EXACT-02,atlas_source_product,atl-lookup-a:DIRTY-02,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-EXACT-03,atlas_source_product,atl-lookup-b:PHOTO-03,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-EXACT-03,atlas_source_product,atl-lookup-b:NAMEONLY-03,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-EXACT-04,atlas_source_product,atl-lookup-b:NAMEONLY-03,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-EXACT-04,atlas_source_product,atl-lookup-b:MULTI-03,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-EXACT-05,atlas_source_product,atl-lookup-a:MULTI-08,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-EXACT-05,atlas_source_product,atl-lookup-b:DIRTY-01,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-EXACT-06,atlas_source_product,atl-lookup-a:NAMEONLY-00,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-EXACT-06,atlas_source_product,atl-lookup-a:DIRTY-08,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-EXACT-07,atlas_source_product,atl-lookup-a:PHOTO-08,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-EXACT-07,atlas_source_product,atl-lookup-b:DIRTY-05,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-EXACT-08,atlas_source_product,atl-lookup-a:MULTI-08,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-EXACT-08,atlas_source_product,atl-lookup-a:VARIANT-08,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-EXACT-09,atlas_source_product,atl-lookup-b:NAMEONLY-09,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-EXACT-09,atlas_source_product,atl-lookup-a:PHOTO-00,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-VARIANT-00,atlas_source_product,atl-lookup-a:MULTI-06,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-VARIANT-00,atlas_source_product,atl-lookup-a:PHOTO-02,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-VARIANT-01,atlas_source_product,atl-lookup-b:NAMEONLY-09,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-VARIANT-01,atlas_source_product,atl-lookup-a:PHOTO-00,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-VARIANT-02,atlas_source_product,atl-lookup-a:PHOTO-02,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-VARIANT-02,atlas_source_product,atl-lookup-b:NAMEONLY-03,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-VARIANT-03,atlas_source_product,atl-lookup-b:MULTI-01,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-VARIANT-03,atlas_source_product,atl-lookup-a:NAMEONLY-08,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-VARIANT-04,atlas_source_product,atl-lookup-a:NAMEONLY-08,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-VARIANT-04,atlas_source_product,atl-lookup-b:DIRTY-05,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-VARIANT-05,atlas_source_product,atl-lookup-b:MULTI-05,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-VARIANT-05,atlas_source_product,atl-lookup-a:NAMEONLY-08,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-VARIANT-06,atlas_source_product,atl-lookup-a:MULTI-02,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-VARIANT-06,atlas_source_product,atl-lookup-b:NAMEONLY-05,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-VARIANT-07,atlas_source_product,atl-lookup-b:NAMEONLY-09,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-VARIANT-07,atlas_source_product,atl-lookup-a:EXACT-00,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-VARIANT-08,atlas_source_product,atl-lookup-b:DIRTY-01,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-VARIANT-08,atlas_source_product,atl-lookup-a:MULTI-06,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-VARIANT-09,atlas_source_product,atl-lookup-b:EXACT-03,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-VARIANT-09,atlas_source_product,atl-lookup-b:NAMEONLY-05,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-MULTI-00,atlas_source_product,atl-lookup-b:VARIANT-07,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-MULTI-00,atlas_source_product,atl-lookup-b:DIRTY-01,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-MULTI-01,atlas_source_product,atl-lookup-b:NAMEONLY-03,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-MULTI-01,atlas_source_product,atl-lookup-a:PHOTO-00,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-MULTI-02,atlas_source_product,atl-lookup-a:PHOTO-00,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-MULTI-02,atlas_source_product,atl-lookup-a:VARIANT-04,no,Random negative: unrelated products sampled across families — negative baseline.
pim_product,LKP-PIM-MULTI-03,atlas_source_product,atl-lookup-a:DIRTY-06,no,Random negative: unrelated products sampled across families — negative baseline.
