sku,feature set,name pl,name en,category,options,series,brand,badge,url_key pl,url_key en,dimensions_depth,dimensions_height,dimensions_width,customizable,product type,config features,config sku,bundle sku,bundle idx,feature set custom,max_limit_bundle,min_limit_bundle,weight_kg,is_handcrafted,material_composition,specifications,short_description en,description en,img main,img 1,img 2,images
ENT-C005,furniture,Fotel Biurowy Zawiadowcy Stacji,Stationmaster Office Chair,"chairs,office-chairs,executive","anodized-gold,nano-chrome",quasar,orbital-foundry,,fotel-biurowy-zawiadowcy-stacji,stationmaster-office-chair,26,44,24,true,,,,,,,,,25.0,true,Anodized-gold frame with contoured comfort padding,"{""dimensions"":""58x110x60"",""load_capacity_kg"":320,""material_grade"":""Chaplain""}",An executive office chair fit for long shifts of station administration and planning.,"From the Quasar Series, this office chair features anodized-gold armrests and ergonomic support for extended paperwork sessions, with nano-chrome detailing. Built-in holder for a data-slate or logbook. Dimensions: 58x110x60cm.",../images/ENT-C005/1.png,../images/ENT-C005/2.png,../images/ENT-C005/3.png,"../images/ENT-C005/4.png,../images/ENT-C005/5.png,../images/ENT-C005/6.png,../images/ENT-C005/7.png,../images/ENT-C005/8.png,../images/ENT-C005/9.png,../images/ENT-C005/10.png"
ENT-C006,furniture,Fotel Obrotowy Nawigatora,Navigator Swivel Chair,chairs,"ceramic-composite,titanium-frame",solaris,orbital-foundry,new,fotel-obrotowy-nawigatora,navigator-swivel-chair,30,38,28,true,,,,,,,,,24.0,true,Precision-balanced titanium frame with vibration-dampening cushions,"{""dimensions"":""62x95x65"",""load_capacity_kg"":300,""material_grade"":""Archive""}",A precision swivel chair tuned for navigators and long console watches.,"From the Solaris Collection, this chair features vibration-dampening cushions and a titanium frame that resists fatigue over long watches. Ceramic-composite base with 360-degree swivel for full console coverage. Dimensions: 62x95x65cm.",../images/ENT-C006/1.png,../images/ENT-C006/2.png,,
ENT-O001,furniture,Pufa Modułu Ładunkowego,Cargo Pod Ottoman,ottomans,ceramic-composite,orion,orbital-foundry,,pufa-modulu-ladunkowego,cargo-pod-ottoman,20,18,24,false,,,,,,,,,12.0,false,Standard-issue ceramic-composite ottoman with cargo-pod motif,"{""dimensions"":""60x45x60"",""load_capacity_kg"":200,""material_grade"":""Logistics""}","Standard-issue footrest, station-approved for any authorized rest period.","Produced in bulk for the Orion Collection, this ottoman features regulation-grey upholstery and a cargo-pod embossed lid on a ceramic-composite shell. Form 27B/6 required for requisition. Dimensions: 60x45x60cm.",,,,
ENT-O002,furniture,Pufa Doku Dronów,Drone Dock Ottoman,ottomans,"ceramic-composite,nano-chrome",heliox,orbital-foundry,bestseller,pufa-doku-dronow,drone-dock-ottoman,22,19,28,true,,,,,,,,,15.0,true,Utility-pattern ottoman with integrated tool storage,"{""dimensions"":""65x48x65"",""load_capacity_kg"":250,""material_grade"":""Colony""}","Neat and clever, this storage ottoman conceals a full tool kit under the lid.",A Heliox Works ottoman featuring integrated storage compartments lined with magnetic tool racks. The nano-chrome lid bears a drone-dock emblem in bas-relief. Oil-resistant synth-leather standard. Dimensions: 65x48x65cm.,../images/ENT-O002/1.png,../images/ENT-O002/2.png,,
ENT-O003,furniture,Pufa Kapsuły Ratunkowej,Escape Pod Ottoman,"ottomans,sale","ceramic-composite,titanium-frame",eclipse,orbital-foundry,sale,pufa-kapsuly-ratunkowej,escape-pod-ottoman,18,16,22,false,,,,,,,,,10.0,false,Sealed-pattern ottoman with lockable interior compartment,"{""dimensions"":""55x40x55"",""load_capacity_kg"":180,""material_grade"":""Frontier""}",A compact ottoman with a lockable hold. Contents strictly your own.,Eclipse Edition ottoman featuring a bio-locked compartment accessible only via keycard authentication. Its unassuming ceramic-composite exterior belies a surprising storage capacity over a titanium frame. Dimensions: 55x40x55cm.,,,,
ENT-O004,furniture,Pufa Satelitarna,Satellite Ottoman,ottomans,ceramic-composite,solaris,orbital-foundry,,pufa-satelitarna,satellite-ottoman,24,17,24,false,,,,,,,,,13.5,false,Round ottoman with soft-cushion top and integrated tray,"{""dimensions"":""60x42x60"",""load_capacity_kg"":190,""material_grade"":""Ceremonial""}","A round ottoman built for easy, restful downtime anywhere on the station.","Part of the Solaris Collection, this round ottoman doubles as a floor cushion on a ceramic-composite base. An integrated tray holds a mug or reader, and a starburst motif is stitched in gold thread. Dimensions: 60x42x60cm.",,,,
ENT-B001,furniture,Łóżko Platformowe Komory Kriogenicznej,Cryo-Bay Platform Bed,"bedroom,beds,platform-beds","graphene-finish,nano-chrome",borealis,orbital-foundry,new,lozko-platformowe-komory-kriogenicznej,cryo-bay-platform-bed,82,48,64,true,,,,,,,,,75.0,true,Graphene-finished frame with bio-gel recovery mattress,"{""dimensions"":""210x120x160"",""load_capacity_kg"":800,""material_grade"":""Orbital""}","A platform bed designed for deep, restorative sleep on long-haul voyages.","Designed for the cryo-bays of the Borealis Frontier, this bed features a graphene-finished frame and a bio-gel mattress that speeds recovery. Weight-rated for full crate storage beneath, with nano-chrome fittings. Dimensions: 210x120x160cm.",,,,
ENT-B002,furniture,Gwiezdny Stolik Nocny,Starlight Nightstand,bedroom,graphene-finish,quasar,orbital-foundry,,gwiezdny-stolik-nocny,starlight-nightstand,16,24,20,false,,,,,,,,,18.0,false,Sleek graphene-finished nightstand with soft-close drawer,"{""dimensions"":""50x60x45"",""load_capacity_kg"":100,""material_grade"":""Flagship""}","A refined nightstand with a secure drawer, fit for any captain's cabin.",A Quasar Series nightstand featuring a graphene-finished surface and a bio-locked drawer. The top is etched with a fine star-map pattern. Dimensions: 50x60x45cm.,,,,
ENT-B003,furniture,Komoda Śluzy Powietrznej,Airlock Dresser,bedroom,"graphene-finish,nano-chrome",outpost,orbital-foundry,bestseller,komoda-sluzy-powietrznej,airlock-dresser,18,34,60,false,,,,,,,,,45.0,false,Nano-chrome-detailed dresser with multiple deep storage drawers,"{""dimensions"":""150x85x50"",""load_capacity_kg"":400,""material_grade"":""Station""}","A premium-quality dresser with generous, deep storage capacity.","This Outpost Line dresser features six reinforced drawers, each rated for heavy garment and gear storage. Nano-chrome detailing on the handles and graphene-finished corners. Dimensions: 150x85x50cm.",,,,
ENT-B004,furniture,Szafa Frachtowca,Freighter Wardrobe,bedroom,"graphene-finish,meteorite-inlay",heliox,orbital-foundry,,szafa-frachtowca,freighter-wardrobe,24,78,48,true,,,,,,,,,62.0,true,Void-sealed wardrobe with modular garment rack system,"{""dimensions"":""120x200x65"",""load_capacity_kg"":600,""material_grade"":""Naval""}",A wardrobe designed for freighter quarters with full garment rack integration.,"Void-sealed Heliox Works wardrobe featuring a modular rack system compatible with all garment types. Emergency vacuum-seal preserves contents during a hull breach, framed with meteorite inlay. Dimensions: 120x200x65cm.",,,,
ENT-B005,furniture,Toaletka Korwety,Corvette Vanity,"bedroom,sale","graphene-finish,nano-chrome",eclipse,orbital-foundry,sale,toaletka-korwety,corvette-vanity,20,30,42,true,,,,,,,,,32.0,false,Compact vanity with integrated mirror and grooming surface,"{""dimensions"":""105x75x55"",""load_capacity_kg"":200,""material_grade"":""Naval""}",A compact vanity optimized for tight corvette officer quarters.,"Designed for the confined quarters of a corvette, this Eclipse Edition vanity features an integrated mirror with built-in lighting and a graphene-finished surface with nano-chrome trim. Dimensions: 105x75x55cm.",,,,
ENT-D001,furniture,Biurko Mostka Dowodzenia,Command Deck Desk,"office,desks,standing-desks","graphene-finish,meteorite-inlay",quasar,orbital-foundry,new,biurko-mostka-dowodzenia,command-deck-desk,30,50,60,true,,,,,,,,,55.0,true,Graphene-finished desk with integrated holo-display surface,"{""dimensions"":""180x125x80"",""load_capacity_kg"":350,""material_grade"":""Command""}",A command-deck desk with integrated tactical displays for any station chief.,"The Command Deck Desk features an integrated holo-display surface for real-time coordination. Titanium-reinforced legs anchor a graphene-finished top with meteorite inlay, built for the Quasar Series. Dimensions: 180x125x80cm.",../images/ENT-D001/1.png,,,
ENT-D002,furniture,Biurko Kwatermistrza,Quartermaster Writing Desk,office,"graphene-finish,nano-chrome",solaris,orbital-foundry,,biurko-kwatermistrza,quartermaster-writing-desk,24,30,48,false,,,,,,,,,35.0,false,Regulation writing desk with built-in inventory log holder,"{""dimensions"":""120x75x65"",""load_capacity_kg"":200,""material_grade"":""Colony""}",A writing desk built to the exacting standards of any quartermaster.,"Regulation Solaris Collection writing desk with integrated log holder and a tally counter. Its graphene-finished surface resists ink and spills, with nano-chrome fittings. Dimensions: 120x75x65cm.",,,,
ENT-D003,furniture,Regał na Mapy Gwiezdne,Star-Chart Bookshelf,office,"graphene-finish,meteorite-inlay",outpost,orbital-foundry,bestseller,regal-na-mapy-gwiezdne,star-chart-bookshelf,12,72,36,true,,,,,,,,,40.0,true,Reinforced bookshelf with lockable restricted section,"{""dimensions"":""90x180x35"",""load_capacity_kg"":500,""material_grade"":""Frontier""}",A sturdy bookshelf with sections for both open and restricted archives.,"This Outpost Line bookshelf features a lockable restricted section and reinforced lower shelves. Capable of housing everything from crew manuals to sealed star-charts, framed with meteorite inlay. Dimensions: 90x180x35cm.",,,,
ENT-D004,furniture,Szafka Kartotekowa Inżyniera,Engineer Filing Cabinet,office,"graphene-finish,nano-chrome",heliox,orbital-foundry,,szafka-kartotekowa-inzyniera,engineer-filing-cabinet,20,28,16,false,,,,,,,,,22.0,false,Graphene-finished filing cabinet with magnetic data-wafer sealing,"{""dimensions"":""45x70x40"",""load_capacity_kg"":150,""material_grade"":""Colony""}",A precision-built filing cabinet for secure data-wafer storage.,"Precision-machined Heliox Works filing cabinet designed for the storage and retrieval of data-wafers. Nano-chrome magnetic sealing prevents unauthorized access and interference, over a graphene-finished body. Dimensions: 45x70x40cm.",,,,
ENT-X001,furniture,Leżak Pokładu Słonecznego,Solar Deck Lounger,outdoor,"ceramic-composite,meteorite-inlay",eclipse,orbital-foundry,,lezak-pokladu-slonecznego,solar-deck-lounger,36,34,72,true,,,,,,,,,38.0,false,Weather-hardened lounger for exterior observation decks,"{""dimensions"":""180x85x90"",""load_capacity_kg"":400,""material_grade"":""Orbital""}",A hardened lounger for extended duty on exterior observation decks.,"Designed for solar-deck watchstanders, this Eclipse Edition lounger withstands harsh exposure including radiation and micro-debris on a ceramic-composite frame with meteorite inlay. Integrated holder for recaf mugs. Dimensions: 180x85x90cm.",,,,
ENT-X002,furniture,Ławka Promenadowa,Promenade Bench,outdoor,graphene-finish,borealis,orbital-foundry,new,lawka-promenadowa,promenade-bench,22,36,60,false,,,,,,,,,30.0,false,Reinforced bench for promenade seating and equipment staging,"{""dimensions"":""150x90x60"",""load_capacity_kg"":500,""material_grade"":""Fortification""}",A reinforced bench built for promenade seating and busy thoroughfares.,"Standard Borealis Frontier bench rated for full-row seating. Doubles as a staging platform for crates during resupply, with a graphene-finished, hard-wearing underside. Dimensions: 150x90x60cm.",,,,
ENT-X003,furniture,Fotel Kopuły Mieszkalnej,Habitat Dome Chair,outdoor,"graphene-finish,nano-chrome",magnetar,orbital-foundry,,fotel-kopuly-mieszkalnej,habitat-dome-chair,42,20,42,false,,,,,,,,,28.0,false,Impact-resistant chair for habitat-dome installations,"{""dimensions"":""85x50x85"",""load_capacity_kg"":350,""material_grade"":""Deep-Space""}",An impact-resistant chair for habitat-dome and airlock operations.,"Magnetar Line seating rated for sudden pressure shifts. An integrated restraint harness prevents ejection during decompression events, with a graphene-finished shell and nano-chrome frame. Low profile fits snug bays. Dimensions: 85x50x85cm.",,,,
ENT-CFG01,furniture,Zestaw Salonowy Kapitana,Captain's Living Room Set,sofas,,orion,orbital-foundry,,zestaw-salonowy-kapitana,captains-living-room-set,,,,,config,series,"ENT-S001,ENT-S002,ENT-C001",,,,,,,,,,,,,,,
ENT-CFG02,furniture,Zestaw Biurowy Zawiadowcy Stacji,Stationmaster's Office Set,office,,quasar,orbital-foundry,,zestaw-biurowy-zawiadowcy-stacji,stationmasters-office-set,,,,,config,brand,"ENT-D001,ENT-C005",,,,,,,,,,,,,,,
ENT-BND01,bundle,Zestaw Komfortu Dowódcy,Commander's Comfort Bundle,"sofas,sale",,orion,orbital-foundry,new,zestaw-komfortu-dowodcy,commanders-comfort-bundle,,,,,bundle,,,"ENT-S001;1;true;true;false,ENT-C001;2;false;false;true,ENT-O001;1;false;false;true",aurora-set,,5,2,,,,,,,,,,
ENT-BND02,bundle,Zestaw Głębokiego Snu,Deep Sleep Bundle,bedroom,,outpost,orbital-foundry,bestseller,zestaw-glebokiego-snu,deep-sleep-bundle,,,,,bundle,,,"ENT-B001;1;true;true;false,ENT-B002;2;false;false;true,ENT-B003;1;false;false;true",haven-bedroom,,4,1,,,,,,,,,,
ENT-CUS01,custom,Tron na Zamówienie Głównego Inżyniera,Chief Engineer's Custom Throne,chairs,,magnetar,orbital-foundry,,tron-na-zamowienie-glownego-inzyniera,chief-engineers-custom-throne,30,38,28,true,custom,,,,,,custom,,32.0,true,Master-crafted throne with full smart-integration suite,"{""dimensions"":""70x120x75"",""load_capacity_kg"":450,""material_grade"":""Station""}",A master-crafted throne for the chief engineer with full smart integration.,"The ultimate expression of Magnetar Line craftsmanship, this custom throne features full smart-integration data-ports and a self-adjusting frame that responds to the occupant's posture. Each unit is individually calibrated by a chief engineer. Dimensions: 70x120x75cm.",,,,
1C01/N,furniture,Krzesło Slash N,Slash Chair N,sofas,,,orbital-foundry,,krzeslo-slash-n,slash-chair-n,30,30,30,false,,,,,,,,,10.0,false,Test frame,,Slash SKU test product (suffix N).,Test product with a slash-suffixed SKU to verify routing.,,,,
2R04/NR,furniture,Krzesło Slash NR,Slash Chair NR,sofas,,,orbital-foundry,,krzeslo-slash-nr,slash-chair-nr,32,32,32,false,,,,,,,,,11.0,false,Test frame,,Slash SKU test product (suffix NR).,Test product with a slash-suffixed SKU (NR) to verify routing.,,,,
